,qualitative,N,T,L,count
0,rings,10,100,10,6
1,rings,10,1000,10,4
2,rings,10,10000,10,1
3,rings,10,100,15,2
4,rings,10,1000,15,2
5,rings,10,10000,15,1
6,rings,10,100,20,2
7,rings,10,1000,20,4
8,rings,10,10000,20,1
9,rings,10,100,30,3
10,rings,10,1000,30,1
11,rings,10,10000,30,1
12,rings,100,100,10,1
13,rings,100,1000,10,2
14,rings,100,10000,10,4
15,rings,100,100,15,2
16,rings,100,1000,15,3
17,rings,100,10000,15,4
18,rings,100,100,20,1
19,rings,100,1000,20,1
20,rings,100,10000,20,1
21,rings,100,100,30,1
22,rings,100,1000,30,1
23,rings,100,10000,30,0
24,rings,1000,100,10,0
25,rings,1000,1000,10,1
26,rings,1000,10000,10,1
27,rings,1000,100,15,1
28,rings,1000,1000,15,3
29,rings,1000,10000,15,2
30,rings,1000,100,20,1
31,rings,1000,1000,20,1
32,rings,1000,10000,20,1
33,rings,1000,100,30,0
34,rings,1000,1000,30,0
35,rings,1000,10000,30,1
36,rings,10000,100,10,3
37,rings,10000,1000,10,1
38,rings,10000,10000,10,3
39,rings,10000,100,15,1
40,rings,10000,1000,15,0
41,rings,10000,10000,15,0
42,rings,10000,100,20,0
43,rings,10000,1000,20,1
44,rings,10000,10000,20,1
45,rings,10000,100,30,2
46,rings,10000,1000,30,0
47,rings,10000,10000,30,1
48,rings,100000,100,10,0
49,rings,100000,1000,10,0
50,rings,100000,10000,10,0
51,rings,100000,100,15,0
52,rings,100000,1000,15,0
53,rings,100000,10000,15,1
54,rings,100000,100,20,0
55,rings,100000,1000,20,0
56,rings,100000,10000,20,0
57,rings,100000,100,30,1
58,rings,100000,1000,30,1
59,rings,100000,10000,30,0
60,perfect_swimmer,10,100,10,2
61,perfect_swimmer,10,1000,10,0
62,perfect_swimmer,10,10000,10,0
63,perfect_swimmer,10,100,15,1
64,perfect_swimmer,10,1000,15,1
65,perfect_swimmer,10,10000,15,0
66,perfect_swimmer,10,100,20,0
67,perfect_swimmer,10,1000,20,0
68,perfect_swimmer,10,10000,20,2
69,perfect_swimmer,10,100,30,0
70,perfect_swimmer,10,1000,30,2
71,perfect_swimmer,10,10000,30,2
72,perfect_swimmer,100,100,10,2
73,perfect_swimmer,100,1000,10,1
74,perfect_swimmer,100,10000,10,1
75,perfect_swimmer,100,100,15,0
76,perfect_swimmer,100,1000,15,0
77,perfect_swimmer,100,10000,15,0
78,perfect_swimmer,100,100,20,1
79,perfect_swimmer,100,1000,20,1
80,perfect_swimmer,100,10000,20,0
81,perfect_swimmer,100,100,30,1
82,perfect_swimmer,100,1000,30,1
83,perfect_swimmer,100,10000,30,1
84,perfect_swimmer,1000,100,10,0
85,perfect_swimmer,1000,1000,10,0
86,perfect_swimmer,1000,10000,10,0
87,perfect_swimmer,1000,100,15,0
88,perfect_swimmer,1000,1000,15,1
89,perfect_swimmer,1000,10000,15,1
90,perfect_swimmer,1000,100,20,0
91,perfect_swimmer,1000,1000,20,0
92,perfect_swimmer,1000,10000,20,2
93,perfect_swimmer,1000,100,30,3
94,perfect_swimmer,1000,1000,30,1
95,perfect_swimmer,1000,10000,30,3
96,perfect_swimmer,10000,100,10,1
97,perfect_swimmer,10000,1000,10,0
98,perfect_swimmer,10000,10000,10,0
99,perfect_swimmer,10000,100,15,0
100,perfect_swimmer,10000,1000,15,0
101,perfect_swimmer,10000,10000,15,0
102,perfect_swimmer,10000,100,20,0
103,perfect_swimmer,10000,1000,20,0
104,perfect_swimmer,10000,10000,20,0
105,perfect_swimmer,10000,100,30,0
106,perfect_swimmer,10000,1000,30,0
107,perfect_swimmer,10000,10000,30,0
108,perfect_swimmer,100000,100,10,0
109,perfect_swimmer,100000,1000,10,0
110,perfect_swimmer,100000,10000,10,0
111,perfect_swimmer,100000,100,15,0
112,perfect_swimmer,100000,1000,15,0
113,perfect_swimmer,100000,10000,15,0
114,perfect_swimmer,100000,100,20,0
115,perfect_swimmer,100000,1000,20,0
116,perfect_swimmer,100000,10000,20,0
117,perfect_swimmer,100000,100,30,1
118,perfect_swimmer,100000,1000,30,0
119,perfect_swimmer,100000,10000,30,1
120,abnormal_swimmer,10,100,10,1
121,abnormal_swimmer,10,1000,10,2
122,abnormal_swimmer,10,10000,10,1
123,abnormal_swimmer,10,100,15,0
124,abnormal_swimmer,10,1000,15,0
125,abnormal_swimmer,10,10000,15,0
126,abnormal_swimmer,10,100,20,0
127,abnormal_swimmer,10,1000,20,1
128,abnormal_swimmer,10,10000,20,0
129,abnormal_swimmer,10,100,30,1
130,abnormal_swimmer,10,1000,30,0
131,abnormal_swimmer,10,10000,30,0
132,abnormal_swimmer,100,100,10,0
133,abnormal_swimmer,100,1000,10,0
134,abnormal_swimmer,100,10000,10,2
135,abnormal_swimmer,100,100,15,0
136,abnormal_swimmer,100,1000,15,0
137,abnormal_swimmer,100,10000,15,0
138,abnormal_swimmer,100,100,20,0
139,abnormal_swimmer,100,1000,20,1
140,abnormal_swimmer,100,10000,20,0
141,abnormal_swimmer,100,100,30,0
142,abnormal_swimmer,100,1000,30,0
143,abnormal_swimmer,100,10000,30,0
144,abnormal_swimmer,1000,100,10,0
145,abnormal_swimmer,1000,1000,10,0
146,abnormal_swimmer,1000,10000,10,0
147,abnormal_swimmer,1000,100,15,1
148,abnormal_swimmer,1000,1000,15,0
149,abnormal_swimmer,1000,10000,15,0
150,abnormal_swimmer,1000,100,20,0
151,abnormal_swimmer,1000,1000,20,0
152,abnormal_swimmer,1000,10000,20,1
153,abnormal_swimmer,1000,100,30,0
154,abnormal_swimmer,1000,1000,30,1
155,abnormal_swimmer,1000,10000,30,0
156,abnormal_swimmer,10000,100,10,1
157,abnormal_swimmer,10000,1000,10,0
158,abnormal_swimmer,10000,10000,10,0
159,abnormal_swimmer,10000,100,15,0
160,abnormal_swimmer,10000,1000,15,0
161,abnormal_swimmer,10000,10000,15,0
162,abnormal_swimmer,10000,100,20,0
163,abnormal_swimmer,10000,1000,20,1
164,abnormal_swimmer,10000,10000,20,0
165,abnormal_swimmer,10000,100,30,0
166,abnormal_swimmer,10000,1000,30,0
167,abnormal_swimmer,10000,10000,30,0
168,abnormal_swimmer,100000,100,10,1
169,abnormal_swimmer,100000,1000,10,0
170,abnormal_swimmer,100000,10000,10,0
171,abnormal_swimmer,100000,100,15,1
172,abnormal_swimmer,100000,1000,15,0
173,abnormal_swimmer,100000,10000,15,0
174,abnormal_swimmer,100000,100,20,0
175,abnormal_swimmer,100000,1000,20,1
176,abnormal_swimmer,100000,10000,20,0
177,abnormal_swimmer,100000,100,30,0
178,abnormal_swimmer,100000,1000,30,0
179,abnormal_swimmer,100000,10000,30,1
180,weak_sensing,10,100,10,0
181,weak_sensing,10,1000,10,0
182,weak_sensing,10,10000,10,0
183,weak_sensing,10,100,15,1
184,weak_sensing,10,1000,15,0
185,weak_sensing,10,10000,15,1
186,weak_sensing,10,100,20,1
187,weak_sensing,10,1000,20,0
188,weak_sensing,10,10000,20,1
189,weak_sensing,10,100,30,0
190,weak_sensing,10,1000,30,0
191,weak_sensing,10,10000,30,1
192,weak_sensing,100,100,10,0
193,weak_sensing,100,1000,10,0
194,weak_sensing,100,10000,10,0
195,weak_sensing,100,100,15,0
196,weak_sensing,100,1000,15,0
197,weak_sensing,100,10000,15,0
198,weak_sensing,100,100,20,0
199,weak_sensing,100,1000,20,0
200,weak_sensing,100,10000,20,0
201,weak_sensing,100,100,30,0
202,weak_sensing,100,1000,30,1
203,weak_sensing,100,10000,30,1
204,weak_sensing,1000,100,10,0
205,weak_sensing,1000,1000,10,0
206,weak_sensing,1000,10000,10,0
207,weak_sensing,1000,100,15,0
208,weak_sensing,1000,1000,15,0
209,weak_sensing,1000,10000,15,0
210,weak_sensing,1000,100,20,1
211,weak_sensing,1000,1000,20,0
212,weak_sensing,1000,10000,20,0
213,weak_sensing,1000,100,30,1
214,weak_sensing,1000,1000,30,0
215,weak_sensing,1000,10000,30,1
216,weak_sensing,10000,100,10,0
217,weak_sensing,10000,1000,10,0
218,weak_sensing,10000,10000,10,0
219,weak_sensing,10000,100,15,0
220,weak_sensing,10000,1000,15,0
221,weak_sensing,10000,10000,15,0
222,weak_sensing,10000,100,20,0
223,weak_sensing,10000,1000,20,0
224,weak_sensing,10000,10000,20,0
225,weak_sensing,10000,100,30,1
226,weak_sensing,10000,1000,30,0
227,weak_sensing,10000,10000,30,0
228,weak_sensing,100000,100,10,0
229,weak_sensing,100000,1000,10,0
230,weak_sensing,100000,10000,10,0
231,weak_sensing,100000,100,15,0
232,weak_sensing,100000,1000,15,2
233,weak_sensing,100000,10000,15,0
234,weak_sensing,100000,100,20,1
235,weak_sensing,100000,1000,20,1
236,weak_sensing,100000,10000,20,0
237,weak_sensing,100000,100,30,1
238,weak_sensing,100000,1000,30,0
239,weak_sensing,100000,10000,30,0
240,sensing_rings,10,100,10,0
241,sensing_rings,10,1000,10,2
242,sensing_rings,10,10000,10,1
243,sensing_rings,10,100,15,0
244,sensing_rings,10,1000,15,1
245,sensing_rings,10,10000,15,1
246,sensing_rings,10,100,20,2
247,sensing_rings,10,1000,20,1
248,sensing_rings,10,10000,20,1
249,sensing_rings,10,100,30,1
250,sensing_rings,10,1000,30,1
251,sensing_rings,10,10000,30,0
252,sensing_rings,100,100,10,0
253,sensing_rings,100,1000,10,2
254,sensing_rings,100,10000,10,0
255,sensing_rings,100,100,15,1
256,sensing_rings,100,1000,15,2
257,sensing_rings,100,10000,15,1
258,sensing_rings,100,100,20,1
259,sensing_rings,100,1000,20,1
260,sensing_rings,100,10000,20,1
261,sensing_rings,100,100,30,0
262,sensing_rings,100,1000,30,1
263,sensing_rings,100,10000,30,0
264,sensing_rings,1000,100,10,4
265,sensing_rings,1000,1000,10,2
266,sensing_rings,1000,10000,10,1
267,sensing_rings,1000,100,15,1
268,sensing_rings,1000,1000,15,1
269,sensing_rings,1000,10000,15,0
270,sensing_rings,1000,100,20,1
271,sensing_rings,1000,1000,20,1
272,sensing_rings,1000,10000,20,0
273,sensing_rings,1000,100,30,1
274,sensing_rings,1000,1000,30,2
275,sensing_rings,1000,10000,30,0
276,sensing_rings,10000,100,10,1
277,sensing_rings,10000,1000,10,1
278,sensing_rings,10000,10000,10,0
279,sensing_rings,10000,100,15,0
280,sensing_rings,10000,1000,15,0
281,sensing_rings,10000,10000,15,0
282,sensing_rings,10000,100,20,0
283,sensing_rings,10000,1000,20,0
284,sensing_rings,10000,10000,20,0
285,sensing_rings,10000,100,30,0
286,sensing_rings,10000,1000,30,0
287,sensing_rings,10000,10000,30,0
288,sensing_rings,100000,100,10,1
289,sensing_rings,100000,1000,10,0
290,sensing_rings,100000,10000,10,0
291,sensing_rings,100000,100,15,0
292,sensing_rings,100000,1000,15,0
293,sensing_rings,100000,10000,15,0
294,sensing_rings,100000,100,20,0
295,sensing_rings,100000,1000,20,0
296,sensing_rings,100000,10000,20,0
297,sensing_rings,100000,100,30,0
298,sensing_rings,100000,1000,30,0
299,sensing_rings,100000,10000,30,0
300,pulsing,10,100,10,0
301,pulsing,10,1000,10,0
302,pulsing,10,10000,10,0
303,pulsing,10,100,15,0
304,pulsing,10,1000,15,1
305,pulsing,10,10000,15,0
306,pulsing,10,100,20,0
307,pulsing,10,1000,20,0
308,pulsing,10,10000,20,0
309,pulsing,10,100,30,0
310,pulsing,10,1000,30,0
311,pulsing,10,10000,30,0
312,pulsing,100,100,10,0
313,pulsing,100,1000,10,0
314,pulsing,100,10000,10,0
315,pulsing,100,100,15,0
316,pulsing,100,1000,15,0
317,pulsing,100,10000,15,0
318,pulsing,100,100,20,0
319,pulsing,100,1000,20,0
320,pulsing,100,10000,20,0
321,pulsing,100,100,30,0
322,pulsing,100,1000,30,0
323,pulsing,100,10000,30,0
324,pulsing,1000,100,10,0
325,pulsing,1000,1000,10,0
326,pulsing,1000,10000,10,0
327,pulsing,1000,100,15,0
328,pulsing,1000,1000,15,0
329,pulsing,1000,10000,15,0
330,pulsing,1000,100,20,0
331,pulsing,1000,1000,20,0
332,pulsing,1000,10000,20,0
333,pulsing,1000,100,30,0
334,pulsing,1000,1000,30,0
335,pulsing,1000,10000,30,0
336,pulsing,10000,100,10,0
337,pulsing,10000,1000,10,0
338,pulsing,10000,10000,10,0
339,pulsing,10000,100,15,0
340,pulsing,10000,1000,15,1
341,pulsing,10000,10000,15,0
342,pulsing,10000,100,20,1
343,pulsing,10000,1000,20,0
344,pulsing,10000,10000,20,0
345,pulsing,10000,100,30,0
346,pulsing,10000,1000,30,0
347,pulsing,10000,10000,30,0
348,pulsing,100000,100,10,1
349,pulsing,100000,1000,10,0
350,pulsing,100000,10000,10,0
351,pulsing,100000,100,15,1
352,pulsing,100000,1000,15,0
353,pulsing,100000,10000,15,1
354,pulsing,100000,100,20,1
355,pulsing,100000,1000,20,0
356,pulsing,100000,10000,20,0
357,pulsing,100000,100,30,0
358,pulsing,100000,1000,30,1
359,pulsing,100000,10000,30,0
360,fluid_cells,10,100,10,0
361,fluid_cells,10,1000,10,0
362,fluid_cells,10,10000,10,2
363,fluid_cells,10,100,15,0
364,fluid_cells,10,1000,15,0
365,fluid_cells,10,10000,15,1
366,fluid_cells,10,100,20,0
367,fluid_cells,10,1000,20,0
368,fluid_cells,10,10000,20,0
369,fluid_cells,10,100,30,0
370,fluid_cells,10,1000,30,0
371,fluid_cells,10,10000,30,0
372,fluid_cells,100,100,10,0
373,fluid_cells,100,1000,10,2
374,fluid_cells,100,10000,10,0
375,fluid_cells,100,100,15,0
376,fluid_cells,100,1000,15,0
377,fluid_cells,100,10000,15,0
378,fluid_cells,100,100,20,0
379,fluid_cells,100,1000,20,1
380,fluid_cells,100,10000,20,0
381,fluid_cells,100,100,30,0
382,fluid_cells,100,1000,30,0
383,fluid_cells,100,10000,30,0
384,fluid_cells,1000,100,10,1
385,fluid_cells,1000,1000,10,1
386,fluid_cells,1000,10000,10,0
387,fluid_cells,1000,100,15,1
388,fluid_cells,1000,1000,15,1
389,fluid_cells,1000,10000,15,2
390,fluid_cells,1000,100,20,1
391,fluid_cells,1000,1000,20,0
392,fluid_cells,1000,10000,20,0
393,fluid_cells,1000,100,30,0
394,fluid_cells,1000,1000,30,0
395,fluid_cells,1000,10000,30,0
396,fluid_cells,10000,100,10,0
397,fluid_cells,10000,1000,10,0
398,fluid_cells,10000,10000,10,1
399,fluid_cells,10000,100,15,2
400,fluid_cells,10000,1000,15,1
401,fluid_cells,10000,10000,15,0
402,fluid_cells,10000,100,20,0
403,fluid_cells,10000,1000,20,0
404,fluid_cells,10000,10000,20,0
405,fluid_cells,10000,100,30,0
406,fluid_cells,10000,1000,30,0
407,fluid_cells,10000,10000,30,0
408,fluid_cells,100000,100,10,2
409,fluid_cells,100000,1000,10,1
410,fluid_cells,100000,10000,10,1
411,fluid_cells,100000,100,15,3
412,fluid_cells,100000,1000,15,0
413,fluid_cells,100000,10000,15,0
414,fluid_cells,100000,100,20,0
415,fluid_cells,100000,1000,20,0
416,fluid_cells,100000,10000,20,2
417,fluid_cells,100000,100,30,1
418,fluid_cells,100000,1000,30,1
419,fluid_cells,100000,10000,30,0
420,radial,10,100,10,0
421,radial,10,1000,10,0
422,radial,10,10000,10,1
423,radial,10,100,15,0
424,radial,10,1000,15,0
425,radial,10,10000,15,0
426,radial,10,100,20,0
427,radial,10,1000,20,0
428,radial,10,10000,20,0
429,radial,10,100,30,0
430,radial,10,1000,30,0
431,radial,10,10000,30,0
432,radial,100,100,10,1
433,radial,100,1000,10,0
434,radial,100,10000,10,0
435,radial,100,100,15,0
436,radial,100,1000,15,0
437,radial,100,10000,15,0
438,radial,100,100,20,0
439,radial,100,1000,20,0
440,radial,100,10000,20,0
441,radial,100,100,30,0
442,radial,100,1000,30,0
443,radial,100,10000,30,0
444,radial,1000,100,10,1
445,radial,1000,1000,10,0
446,radial,1000,10000,10,1
447,radial,1000,100,15,0
448,radial,1000,1000,15,0
449,radial,1000,10000,15,0
450,radial,1000,100,20,0
451,radial,1000,1000,20,0
452,radial,1000,10000,20,0
453,radial,1000,100,30,0
454,radial,1000,1000,30,0
455,radial,1000,10000,30,0
456,radial,10000,100,10,0
457,radial,10000,1000,10,2
458,radial,10000,10000,10,0
459,radial,10000,100,15,0
460,radial,10000,1000,15,2
461,radial,10000,10000,15,1
462,radial,10000,100,20,1
463,radial,10000,1000,20,2
464,radial,10000,10000,20,1
465,radial,10000,100,30,0
466,radial,10000,1000,30,0
467,radial,10000,10000,30,2
468,radial,100000,100,10,0
469,radial,100000,1000,10,1
470,radial,100000,10000,10,1
471,radial,100000,100,15,2
472,radial,100000,1000,15,2
473,radial,100000,10000,15,1
474,radial,100000,100,20,0
475,radial,100000,1000,20,0
476,radial,100000,10000,20,1
477,radial,100000,100,30,0
478,radial,100000,1000,30,0
479,radial,100000,10000,30,0
480,slow_sensing,10,100,10,0
481,slow_sensing,10,1000,10,0
482,slow_sensing,10,10000,10,0
483,slow_sensing,10,100,15,0
484,slow_sensing,10,1000,15,0
485,slow_sensing,10,10000,15,0
486,slow_sensing,10,100,20,0
487,slow_sensing,10,1000,20,0
488,slow_sensing,10,10000,20,0
489,slow_sensing,10,100,30,0
490,slow_sensing,10,1000,30,0
491,slow_sensing,10,10000,30,0
492,slow_sensing,100,100,10,0
493,slow_sensing,100,1000,10,0
494,slow_sensing,100,10000,10,1
495,slow_sensing,100,100,15,0
496,slow_sensing,100,1000,15,0
497,slow_sensing,100,10000,15,0
498,slow_sensing,100,100,20,0
499,slow_sensing,100,1000,20,0
500,slow_sensing,100,10000,20,0
501,slow_sensing,100,100,30,0
502,slow_sensing,100,1000,30,0
503,slow_sensing,100,10000,30,0
504,slow_sensing,1000,100,10,0
505,slow_sensing,1000,1000,10,2
506,slow_sensing,1000,10000,10,0
507,slow_sensing,1000,100,15,0
508,slow_sensing,1000,1000,15,0
509,slow_sensing,1000,10000,15,0
510,slow_sensing,1000,100,20,0
511,slow_sensing,1000,1000,20,0
512,slow_sensing,1000,10000,20,0
513,slow_sensing,1000,100,30,0
514,slow_sensing,1000,1000,30,0
515,slow_sensing,1000,10000,30,0
516,slow_sensing,10000,100,10,0
517,slow_sensing,10000,1000,10,2
518,slow_sensing,10000,10000,10,3
519,slow_sensing,10000,100,15,0
520,slow_sensing,10000,1000,15,1
521,slow_sensing,10000,10000,15,3
522,slow_sensing,10000,100,20,0
523,slow_sensing,10000,1000,20,0
524,slow_sensing,10000,10000,20,2
525,slow_sensing,10000,100,30,0
526,slow_sensing,10000,1000,30,0
527,slow_sensing,10000,10000,30,0
528,slow_sensing,100000,100,10,1
529,slow_sensing,100000,1000,10,0
530,slow_sensing,100000,10000,10,2
531,slow_sensing,100000,100,15,0
532,slow_sensing,100000,1000,15,0
533,slow_sensing,100000,10000,15,0
534,slow_sensing,100000,100,20,0
535,slow_sensing,100000,1000,20,0
536,slow_sensing,100000,10000,20,0
537,slow_sensing,100000,100,30,0
538,slow_sensing,100000,1000,30,0
539,slow_sensing,100000,10000,30,0
540,slow_dissolve,10,100,10,0
541,slow_dissolve,10,1000,10,0
542,slow_dissolve,10,10000,10,0
543,slow_dissolve,10,100,15,0
544,slow_dissolve,10,1000,15,0
545,slow_dissolve,10,10000,15,0
546,slow_dissolve,10,100,20,0
547,slow_dissolve,10,1000,20,0
548,slow_dissolve,10,10000,20,0
549,slow_dissolve,10,100,30,0
550,slow_dissolve,10,1000,30,0
551,slow_dissolve,10,10000,30,0
552,slow_dissolve,100,100,10,0
553,slow_dissolve,100,1000,10,0
554,slow_dissolve,100,10000,10,0
555,slow_dissolve,100,100,15,0
556,slow_dissolve,100,1000,15,0
557,slow_dissolve,100,10000,15,0
558,slow_dissolve,100,100,20,0
559,slow_dissolve,100,1000,20,0
560,slow_dissolve,100,10000,20,0
561,slow_dissolve,100,100,30,0
562,slow_dissolve,100,1000,30,0
563,slow_dissolve,100,10000,30,0
564,slow_dissolve,1000,100,10,0
565,slow_dissolve,1000,1000,10,2
566,slow_dissolve,1000,10000,10,6
567,slow_dissolve,1000,100,15,0
568,slow_dissolve,1000,1000,15,1
569,slow_dissolve,1000,10000,15,0
570,slow_dissolve,1000,100,20,0
571,slow_dissolve,1000,1000,20,0
572,slow_dissolve,1000,10000,20,0
573,slow_dissolve,1000,100,30,0
574,slow_dissolve,1000,1000,30,0
575,slow_dissolve,1000,10000,30,0
576,slow_dissolve,10000,100,10,3
577,slow_dissolve,10000,1000,10,2
578,slow_dissolve,10000,10000,10,2
579,slow_dissolve,10000,100,15,4
580,slow_dissolve,10000,1000,15,3
581,slow_dissolve,10000,10000,15,1
582,slow_dissolve,10000,100,20,3
583,slow_dissolve,10000,1000,20,1
584,slow_dissolve,10000,10000,20,0
585,slow_dissolve,10000,100,30,0
586,slow_dissolve,10000,1000,30,2
587,slow_dissolve,10000,10000,30,1
588,slow_dissolve,100000,100,10,0
589,slow_dissolve,100000,1000,10,2
590,slow_dissolve,100000,10000,10,2
591,slow_dissolve,100000,100,15,1
592,slow_dissolve,100000,1000,15,3
593,slow_dissolve,100000,10000,15,2
594,slow_dissolve,100000,100,20,1
595,slow_dissolve,100000,1000,20,2
596,slow_dissolve,100000,10000,20,0
597,slow_dissolve,100000,100,30,1
598,slow_dissolve,100000,1000,30,1
599,slow_dissolve,100000,10000,30,1
600,projection,10,100,10,0
601,projection,10,1000,10,0
602,projection,10,10000,10,0
603,projection,10,100,15,0
604,projection,10,1000,15,0
605,projection,10,10000,15,0
606,projection,10,100,20,0
607,projection,10,1000,20,0
608,projection,10,10000,20,0
609,projection,10,100,30,0
610,projection,10,1000,30,0
611,projection,10,10000,30,0
612,projection,100,100,10,0
613,projection,100,1000,10,0
614,projection,100,10000,10,0
615,projection,100,100,15,0
616,projection,100,1000,15,0
617,projection,100,10000,15,0
618,projection,100,100,20,0
619,projection,100,1000,20,0
620,projection,100,10000,20,0
621,projection,100,100,30,0
622,projection,100,1000,30,0
623,projection,100,10000,30,0
624,projection,1000,100,10,0
625,projection,1000,1000,10,0
626,projection,1000,10000,10,0
627,projection,1000,100,15,0
628,projection,1000,1000,15,0
629,projection,1000,10000,15,0
630,projection,1000,100,20,0
631,projection,1000,1000,20,0
632,projection,1000,10000,20,0
633,projection,1000,100,30,0
634,projection,1000,1000,30,0
635,projection,1000,10000,30,0
636,projection,10000,100,10,0
637,projection,10000,1000,10,1
638,projection,10000,10000,10,1
639,projection,10000,100,15,1
640,projection,10000,1000,15,1
641,projection,10000,10000,15,1
642,projection,10000,100,20,0
643,projection,10000,1000,20,0
644,projection,10000,10000,20,0
645,projection,10000,100,30,1
646,projection,10000,1000,30,0
647,projection,10000,10000,30,0
648,projection,100000,100,10,0
649,projection,100000,1000,10,2
650,projection,100000,10000,10,1
651,projection,100000,100,15,0
652,projection,100000,1000,15,1
653,projection,100000,10000,15,1
654,projection,100000,100,20,0
655,projection,100000,1000,20,0
656,projection,100000,10000,20,0
657,projection,100000,100,30,0
658,projection,100000,1000,30,0
659,projection,100000,10000,30,0
660,ghost,10,100,10,0
661,ghost,10,1000,10,0
662,ghost,10,10000,10,0
663,ghost,10,100,15,0
664,ghost,10,1000,15,0
665,ghost,10,10000,15,0
666,ghost,10,100,20,0
667,ghost,10,1000,20,0
668,ghost,10,10000,20,0
669,ghost,10,100,30,0
670,ghost,10,1000,30,0
671,ghost,10,10000,30,0
672,ghost,100,100,10,0
673,ghost,100,1000,10,0
674,ghost,100,10000,10,0
675,ghost,100,100,15,0
676,ghost,100,1000,15,0
677,ghost,100,10000,15,0
678,ghost,100,100,20,0
679,ghost,100,1000,20,0
680,ghost,100,10000,20,0
681,ghost,100,100,30,0
682,ghost,100,1000,30,0
683,ghost,100,10000,30,0
684,ghost,1000,100,10,0
685,ghost,1000,1000,10,0
686,ghost,1000,10000,10,0
687,ghost,1000,100,15,0
688,ghost,1000,1000,15,0
689,ghost,1000,10000,15,0
690,ghost,1000,100,20,0
691,ghost,1000,1000,20,0
692,ghost,1000,10000,20,0
693,ghost,1000,100,30,0
694,ghost,1000,1000,30,0
695,ghost,1000,10000,30,0
696,ghost,10000,100,10,0
697,ghost,10000,1000,10,0
698,ghost,10000,10000,10,0
699,ghost,10000,100,15,0
700,ghost,10000,1000,15,0
701,ghost,10000,10000,15,0
702,ghost,10000,100,20,0
703,ghost,10000,1000,20,0
704,ghost,10000,10000,20,0
705,ghost,10000,100,30,0
706,ghost,10000,1000,30,1
707,ghost,10000,10000,30,0
708,ghost,100000,100,10,0
709,ghost,100000,1000,10,0
710,ghost,100000,10000,10,0
711,ghost,100000,100,15,0
712,ghost,100000,1000,15,0
713,ghost,100000,10000,15,0
714,ghost,100000,100,20,1
715,ghost,100000,1000,20,2
716,ghost,100000,10000,20,0
717,ghost,100000,100,30,0
718,ghost,100000,1000,30,0
719,ghost,100000,10000,30,0
